time_us,x_g,y_g,z_g,time_ms
1172503,0.0273,0.0585,0.9009,1172.503
1175010,0.0312,0.0468,0.9126,1175.01
1177519,0.0312,0.0507,0.9048,1177.519
1180013,0.0351,0.0468,0.9165,1180.013
1182503,0.039,0.0468,0.9048,1182.503
1185026,0.0312,0.0546,0.9087,1185.026
1187520,0.0351,0.0468,0.9165,1187.52
1190009,0.0312,0.0468,0.897,1190.009
1192516,0.039,0.0546,0.9009,1192.516
1195025,0.0312,0.0468,0.9087,1195.025
1197530,0.0273,0.0585,0.9165,1197.53
1200021,0.0273,0.0468,0.9087,1200.021
1202519,0.0351,0.0429,0.9048,1202.519
1205003,0.0351,0.0429,0.9087,1205.003
1207537,0.039,0.0507,0.9126,1207.537
1210012,0.0351,0.0507,0.9009,1210.012
1212507,0.0351,0.0468,0.9009,1212.507
1215012,0.0312,0.0585,0.9048,1215.012
1217521,0.0273,0.0507,0.9087,1217.521
1220008,0.0273,0.0468,0.9126,1220.008
1222535,0.039,0.0507,0.9009,1222.535
1225013,0.0312,0.0429,0.9087,1225.013
1227520,0.0312,0.0468,0.9087,1227.52
1230009,0.0312,0.0468,0.9048,1230.009
1232500,0.0351,0.0429,0.9009,1232.5
1235010,0.0312,0.0546,0.9048,1235.01
1237507,0.0273,0.0546,0.9165,1237.507
1240002,0.0351,0.039,0.9087,1240.002
1242521,0.039,0.0507,0.9126,1242.521
1245018,0.039,0.0468,0.9048,1245.018
1247525,0.0312,0.0546,0.9165,1247.525
1250012,0.0312,0.0429,0.9126,1250.012
1252503,0.0312,0.0429,0.9009,1252.503
1255019,0.0312,0.0507,0.9087,1255.019
1257523,0.0312,0.0429,0.9087,1257.523
1260015,0.0273,0.0546,0.9087,1260.015
1262524,0.0312,0.0429,0.9009,1262.524
1265005,0.0312,0.0429,0.9048,1265.005
1267520,0.0273,0.0507,0.9048,1267.52
1270009,0.0312,0.0468,0.9087,1270.009
1272503,0.0312,0.0429,0.9087,1272.503
1275021,0.0351,0.0507,0.9087,1275.021
1277503,0.0312,0.0507,0.9087,1277.503
1280002,0.0312,0.0507,0.9087,1280.002
1282517,0.039,0.0546,0.9243,1282.517
1285019,0.0312,0.0546,0.8931,1285.019
1287529,0.0312,0.0468,0.9009,1287.529
1290017,0.0351,0.0585,0.9087,1290.017
1292518,0.0273,0.0507,0.9048,1292.518
1295000,0.0312,0.0507,0.9087,1295.0
1297502,0.0312,0.0507,0.9165,1297.502
1300016,0.0351,0.0546,0.9087,1300.016
1302507,0.0312,0.0546,0.9243,1302.507
1305026,0.0273,0.0624,0.897,1305.026
1307530,0.0234,0.0546,0.9165,1307.53
1310013,0.0234,0.0507,0.9165,1310.013
